lineup_id,salary,projection,player_ids,player_names,teams,positions
L001,59800,113.017,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-71705 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Noah Fant Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ MIA CIN MIA DEN,QB RB RB WR WR WR TE WR D
L002,59800,112.143,120992-91591 120992-72776 120992-138820 120992-57403 120992-103564 120992-85701 120992-71705 120992-87787 120992-12531,Justin Fields Alexander Mattison De'Von Achane Courtland Sutton Garrett Wilson Ja'Marr Chase Noah Fant J.K. Dobbins Denver Broncos,NYJ MIA MIA DEN NYJ CIN CIN DEN DEN,QB RB RB WR WR WR TE RB D
L003,59000,111.817,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-87815 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Jeremy Ruckert Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ MIA NYJ MIA DEN,QB RB RB WR WR WR TE WR D
L004,59200,111.767,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-130270 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Adam Trautman Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ MIA DEN MIA DEN,QB RB RB WR WR WR TE WR D
L005,59500,111.517,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-151903 120992-71705 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Troy Franklin Noah Fant Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ DEN CIN MIA DEN,QB RB RB WR WR WR TE WR D
L006,60000,111.453,120992-60840 120992-138820 120992-87787 120992-57403 120992-103564 120992-85701 120992-87815 120992-90573 120992-12531,Jake Browning De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Ja'Marr Chase Jeremy Ruckert Jaylen Waddle Denver Broncos,CIN MIA DEN DEN NYJ CIN NYJ MIA DEN,QB RB RB WR WR WR TE WR D
L007,59600,111.283,120992-91591 120992-138820 120992-87787 120992-56809 120992-57403 120992-103564 120992-87815 120992-85701 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Allen Lazard Courtland Sutton Garrett Wilson Jeremy Ruckert Ja'Marr Chase Denver Broncos,NYJ MIA DEN NYJ DEN NYJ NYJ CIN DEN,QB RB RB WR WR WR TE WR D
L008,59800,111.233,120992-91591 120992-138820 120992-87787 120992-56809 120992-57403 120992-103564 120992-130270 120992-85701 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Allen Lazard Courtland Sutton Garrett Wilson Adam Trautman Ja'Marr Chase Denver Broncos,NYJ MIA DEN NYJ DEN NYJ DEN CIN DEN,QB RB RB WR WR WR TE WR D
L009,60000,111.15,120992-91591 120992-138820 120992-87787 120992-103564 120992-85701 120992-90573 120992-71705 120992-151903 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Garrett Wilson Ja'Marr Chase Jaylen Waddle Noah Fant Troy Franklin Denver Broncos,NYJ MIA DEN NYJ CIN MIA CIN DEN DEN,QB RB RB WR WR WR TE WR D
L010,59300,111.083,120992-91591 120992-103064 120992-138820 120992-57403 120992-103564 120992-90573 120992-71705 120992-87787 120992-12531,Justin Fields Breece Hall De'Von Achane Courtland Sutton Garrett Wilson Jaylen Waddle Noah Fant J.K. Dobbins Denver Broncos,NYJ NYJ MIA DEN NYJ MIA CIN DEN DEN,QB RB RB WR WR WR TE RB D
L011,59000,110.943,120992-91591 120992-72776 120992-138820 120992-57403 120992-103564 120992-85701 120992-87815 120992-87787 120992-12531,Justin Fields Alexander Mattison De'Von Achane Courtland Sutton Garrett Wilson Ja'Marr Chase Jeremy Ruckert J.K. Dobbins Denver Broncos,NYJ MIA MIA DEN NYJ CIN NYJ DEN DEN,QB RB RB WR WR WR TE RB D
L012,59200,110.893,120992-91591 120992-72776 120992-138820 120992-57403 120992-103564 120992-85701 120992-130270 120992-87787 120992-12531,Justin Fields Alexander Mattison De'Von Achane Courtland Sutton Garrett Wilson Ja'Marr Chase Adam Trautman J.K. Dobbins Denver Broncos,NYJ MIA MIA DEN NYJ CIN DEN DEN DEN,QB RB RB WR WR WR TE RB D
L013,58800,110.845,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-103966 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Stone Smartt Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ MIA NYJ MIA DEN,QB RB RB WR WR WR TE WR D
L014,59200,110.833,120992-90572 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-71705 120992-53681 120992-12531,Tua Tagovailoa De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Noah Fant Tyreek Hill Denver Broncos,MIA MIA DEN DEN NYJ MIA CIN MIA DEN,QB RB RB WR WR WR TE WR D
L015,59700,110.767,120992-102965 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-71705 120992-53681 120992-12531,Bo Nix De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Noah Fant Tyreek Hill Denver Broncos,DEN MIA DEN DEN NYJ MIA CIN MIA DEN,QB RB RB WR WR WR TE WR D
L016,60000,110.729,120992-90572 120992-138820 120992-87787 120992-57403 120992-103564 120992-85701 120992-103966 120992-90573 120992-12531,Tua Tagovailoa De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Ja'Marr Chase Stone Smartt Jaylen Waddle Denver Broncos,MIA MIA DEN DEN NYJ CIN NYJ MIA DEN,QB RB RB WR WR WR TE WR D
L017,59000,110.587,120992-60840 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-71705 120992-53681 120992-12531,Jake Browning De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Noah Fant Tyreek Hill Denver Broncos,CIN MIA DEN DEN NYJ MIA CIN MIA DEN,QB RB RB WR WR WR TE WR D
L018,59800,110.482,120992-60840 120992-138820 120992-87787 120992-57403 120992-103564 120992-85701 120992-103966 120992-90573 120992-12531,Jake Browning De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Ja'Marr Chase Stone Smartt Jaylen Waddle Denver Broncos,CIN MIA DEN DEN NYJ CIN NYJ MIA DEN,QB RB RB WR WR WR TE WR D
L019,58600,110.417,120992-91591 120992-138820 120992-87787 120992-56809 120992-57403 120992-103564 120992-71705 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Allen Lazard Courtland Sutton Garrett Wilson Noah Fant Tyreek Hill Denver Broncos,NYJ MIA DEN NYJ DEN NYJ CIN MIA DEN,QB RB RB WR WR WR TE WR D
L020,59000,110.417,120992-91591 120992-138820 120992-87787 120992-57403 120992-103564 120992-90573 120992-56711 120992-53681 120992-12531,Justin Fields De'Von Achane J.K. Dobbins Courtland Sutton Garrett Wilson Jaylen Waddle Drew Sample Tyreek Hill Denver Broncos,NYJ MIA DEN DEN NYJ MIA CIN MIA DEN,QB RB RB WR WR WR TE WR D
